periode,werknemer_id,naam,bsn,geboortedatum,functie,bruto_loon,loonheffing,zvw_bijdrage,ww_premie_awf,ww_premie_sectorfonds,wao_wia,netto_loon,bijzondere_beloning,reiskostenvergoeding,wkr_declaratie
2025-05,W001,Pieter Bakker,111222333,1985-03-15,Hoofdbakker,4200.00,1134.00,277.20,126.42,0.00,277.20,2385.18,1500.00,95.00,0.00
2025-05,W002,Sanne van Dijk,222333444,1992-07-22,Verkoopster,2800.00,644.00,184.80,84.28,0.00,184.80,1702.12,0.00,65.00,0.00
2025-05,W003,Ahmed El Fassi,333444555,1998-11-03,Assistent-bakker,2400.00,504.00,158.40,72.24,0.00,158.40,1506.96,0.00,45.00,0.00
2025-06,W001,Pieter Bakker,111222333,1985-03-15,Hoofdbakker,4200.00,1134.00,277.20,126.42,0.00,277.20,2385.18,0.00,95.00,0.00
2025-06,W002,Sanne van Dijk,222333444,1992-07-22,Verkoopster,2800.00,644.00,184.80,84.28,0.00,184.80,1702.12,0.00,65.00,0.00
2025-06,W003,Ahmed El Fassi,333444555,1998-11-03,Assistent-bakker,2400.00,504.00,158.40,72.24,0.00,158.40,1506.96,0.00,45.00,0.00
2025-07,W001,Pieter Bakker,111222333,1985-03-15,Hoofdbakker,4200.00,1134.00,277.20,126.42,0.00,277.20,2385.18,0.00,95.00,0.00
2025-07,W002,Sanne van Dijk,222333444,1992-07-22,Verkoopster,2800.00,644.00,184.80,84.28,0.00,184.80,1702.12,0.00,65.00,0.00
2025-07,W003,Ahmed El Fassi,333444555,1998-11-03,Assistent-bakker,2400.00,504.00,158.40,72.24,0.00,158.40,1506.96,0.00,45.00,0.00
2025-08,W001,Pieter Bakker,111222333,1985-03-15,Hoofdbakker,4200.00,1134.00,277.20,126.42,0.00,277.20,2385.18,0.00,95.00,0.00
2025-08,W002,Sanne van Dijk,222333444,1992-07-22,Verkoopster,2800.00,644.00,184.80,84.28,0.00,184.80,1702.12,0.00,65.00,0.00
2025-08,W003,Ahmed El Fassi,333444555,1998-11-03,Assistent-bakker,2400.00,504.00,158.40,72.24,0.00,158.40,1506.96,0.00,45.00,0.00
2025-09,W001,Pieter Bakker,111222333,1985-03-15,Hoofdbakker,4200.00,1134.00,277.20,126.42,0.00,277.20,2385.18,0.00,95.00,0.00
2025-09,W002,Sanne van Dijk,222333444,1992-07-22,Verkoopster,2800.00,644.00,184.80,84.28,0.00,184.80,1702.12,0.00,65.00,125.00
2025-09,W003,Ahmed El Fassi,333444555,1998-11-03,Assistent-bakker,2400.00,504.00,158.40,72.24,0.00,158.40,1506.96,0.00,45.00,0.00
2025-10,W001,Pieter Bakker,111222333,1985-03-15,Hoofdbakker,4200.00,1134.00,277.20,126.42,0.00,277.20,2385.18,0.00,95.00,0.00
2025-10,W002,Sanne van Dijk,222333444,1992-07-22,Verkoopster,2800.00,644.00,184.80,84.28,0.00,184.80,1702.12,0.00,65.00,0.00
2025-10,W003,Ahmed El Fassi,333444555,1998-11-03,Assistent-bakker,2400.00,504.00,158.40,72.24,0.00,158.40,1506.96,0.00,45.00,0.00
2025-11,W001,Pieter Bakker,111222333,1985-03-15,Hoofdbakker,4200.00,1134.00,277.20,126.42,0.00,277.20,2385.18,0.00,95.00,0.00
2025-11,W002,Sanne van Dijk,222333444,1992-07-22,Verkoopster,2800.00,644.00,184.80,84.28,0.00,184.80,1702.12,0.00,65.00,0.00
2025-11,W003,Ahmed El Fassi,333444555,1998-11-03,Assistent-bakker,2400.00,504.00,158.40,72.24,0.00,158.40,1506.96,0.00,45.00,85.00
2025-12,W001,Pieter Bakker,111222333,1985-03-15,Hoofdbakker,4200.00,1134.00,277.20,126.42,0.00,277.20,2385.18,750.00,95.00,0.00
2025-12,W002,Sanne van Dijk,222333444,1992-07-22,Verkoopster,2800.00,644.00,184.80,84.28,0.00,184.80,1702.12,500.00,65.00,0.00
2025-12,W003,Ahmed El Fassi,333444555,1998-11-03,Assistent-bakker,2400.00,504.00,158.40,72.24,0.00,158.40,1506.96,400.00,45.00,0.00
